,Index,Name,Type,Construction_ConstructionOfHouses,Houses_NumberOfHouses
127,6438,Offenbach, Landkreis,703,158490
128,6439,Rheingau-Taunus-Kreis,,222,89614
129,6440,Wetteraukreis,,692,140046
130,6531,Gießen, Landkreis,912,123257
131,6532,Lahn-Dill-Kreis,,480,117695
132,6533,Limburg-Weilburg, Landkreis,286,80316
133,6534,Marburg-Biedenkopf, Landkreis,426,112180
134,6535,Vogelsbergkreis,,101,51176
135,6611,Kassel, kreisfreie Stadt,267,101081
136,6631,Fulda, Landkreis,701,105286
137,6632,Hersfeld-Rotenburg, Landkreis,111,58203
138,6633,Kassel, Landkreis,304,115663
139,6634,Schwalm-Eder-Kreis,,130,86497
140,6635,Waldeck-Frankenberg, Landkreis,202,77928
141,6636,Werra-Meißner-Kreis,,46,51393
142,7111,Koblenz, kreisfreie Stadt,192,59551
143,7131,Ahrweiler, Landkreis,415,65328
144,7132,Altenkirchen (Westerwald), Landkreis,211,61513
145,7133,Bad Kreuznach, Landkreis,296,75725
146,7134,Birkenfeld, Landkreis,70,44078
147,7135,Cochem-Zell, Landkreis,129,32912
148,7137,Mayen-Koblenz, Landkreis,875,106170
149,7138,Neuwied, Landkreis,288,88994
150,7140,Rhein-Hunsrück-Kreis,,229,50961
151,7141,Rhein-Lahn-Kreis,,154,63425
152,7143,Westerwaldkreis,,388,94354
153,7211,Trier, kreisfreie Stadt,293,56313
154,7231,Bernkastel-Wittlich, Landkreis,388,57389
155,7232,Eifelkreis Bitburg-Prüm,,374,48541
156,7233,Vulkaneifel, Landkreis,125,31890
157,7235,Trier-Saarburg, Landkreis,527,67946
158,7311,Frankenthal (Pfalz), kreisfreie Stadt,43,21405
159,7312,Kaiserslautern, kreisfreie Stadt,195,53646
160,7313,Landau in der Pfalz, kreisfreie Stadt,269,22126
161,7314,Ludwigshafen am Rhein, kreisfreie Stadt,404,78036
162,7315,Mainz, kreisfreie Stadt,982,98029
163,7316,Neustadt an der Weinstraße, kreisfreie Stadt,108,27477
164,7317,Pirmasens, kreisfreie Stadt,29,24757
165,7318,Speyer, kreisfreie Stadt,169,25116
166,7319,Worms, kreisfreie Stadt,45,40880
167,7320,Zweibrücken, kreisfreie Stadt,36,18182
168,7331,Alzey-Worms, Landkreis,392,57098
169,7332,Bad Dürkheim, Landkreis,391,64073
170,7333,Donnersbergkreis,,128,35901
171,7334,Germersheim, Landkreis,365,55415
172,7335,Kaiserslautern, Landkreis,332,58528
173,7336,Kusel, Landkreis,189,36613
174,7337,Südliche Weinstraße, Landkreis,386,52967
175,7338,Rhein-Pfalz-Kreis,,575,68806
176,7339,Mainz-Bingen, Landkreis,555,98852
177,7340,Südwestpfalz, Landkreis,164,49461
178,8111,Stuttgart, kreisfreie Stadt,1599,301739
179,8115,Böblingen, Landkreis,1553,171492
180,8116,Esslingen, Landkreis,1569,247770
181,8117,Göppingen, Landkreis,548,118502
182,8118,Ludwigsburg, Landkreis,1600,246238
183,8119,Rems-Murr-Kreis,,1269,197560
184,8121,Heilbronn, kreisfreie Stadt,496,58494
