Index;Name;Construction
6633;      Kassel, Landkreis;304
6634;      Schwalm-Eder-Kreis;130
6635;      Waldeck-Frankenberg, Landkreis;202
6636;      Werra-Mei§ner-Kreis;46
7;  Rheinland-Pfalz;10711
71;    Koblenz, Stat. Region;3247
7111;      Koblenz, Kreisfreie Stadt;192
7131;      Ahrweiler, Landkreis;415
7132;      Altenkirchen (Westerwald), Landkreis;211
7133;      Bad Kreuznach, Landkreis;296
7134;      Birkenfeld, Landkreis;70
7135;      Cochem-Zell, Landkreis;129
7137;      Mayen-Koblenz, Landkreis;875
7138;      Neuwied, Landkreis;288
7140;      Rhein-HunsrŸck-Kreis;229
7141;      Rhein-Lahn-Kreis;154
7143;      Westerwaldkreis;388
72;    Trier, Stat. Region;1707
7211;      Trier, Kreisfreie Stadt;293
7231;      Bernkastel-Wittlich, Landkreis;388
7232;      Eifelkreis Bitburg-PrŸm;374
7233;      Vulkaneifel, Landkreis;125
7235;      Trier-Saarburg, Landkreis;527
73;    Rheinhessen-Pfalz, Stat. Region;5757
7311;      Frankenthal (Pfalz), Kreisfreie Stadt;43
7312;      Kaiserslautern, Kreisfreie Stadt;195
7313;      Landau in der Pfalz, Kreisfreie Stadt;269
7314;      Ludwigshafen am Rhein, Kreisfreie Stadt;404
7315;      Mainz, Kreisfreie Stadt;982
7316;      Neustadt an der Weinstra§e, Kreisfreie Stadt;108
7317;      Pirmasens, Kreisfreie Stadt;29
7318;      Speyer, Kreisfreie Stadt;169
7319;      Worms, Kreisfreie Stadt;45
7320;      ZweibrŸcken, Kreisfreie Stadt;36
7331;      Alzey-Worms, Landkreis;392
7332;      Bad DŸrkheim, Landkreis;391
7333;      Donnersbergkreis;128
7334;      Germersheim, Landkreis;365
7335;      Kaiserslautern, Landkreis;332
7336;      Kusel, Landkreis;189
7337;      SŸdliche Weinstra§e, Landkreis;386
7338;      Rhein-Pfalz-Kreis;575
7339;      Mainz-Bingen, Landkreis;555
7340;      SŸdwestpfalz, Landkreis;164
8;  Baden-WŸrttemberg;31924
81;    Stuttgart, Regierungsbezirk;11906
8111;      Stuttgart, Landeshauptstadt, Kreisfreie Stadt;1599
8115;      Bšblingen, Landkreis;1553
8116;      Esslingen, Landkreis;1569
8117;      Gšppingen, Landkreis;548
8118;      Ludwigsburg, Landkreis;1600
8119;      Rems-Murr-Kreis;1269
8121;      Heilbronn, Kreisfreie Stadt;496
8125;      Heilbronn, Landkreis;1004
8126;      Hohenlohekreis;345
8127;      SchwŠbisch Hall, Landkreis;681
8128;      Main-Tauber-Kreis;278
8135;      Heidenheim, Landkreis;271
8136;      Ostalbkreis;693
82;    Karlsruhe, Regierungsbezirk;6770
8211;      Baden-Baden, Kreisfreie Stadt;122
8212;      Karlsruhe, Kreisfreie Stadt;703
8215;      Karlsruhe, Landkreis;1006
8216;      Rastatt, Landkreis;488
8221;      Heidelberg, Kreisfreie Stadt;826
8222;      Mannheim, UniversitŠtsstadt, Kreisfreie Stadt;623
8225;      Neckar-Odenwald-Kreis;224
8226;      Rhein-Neckar-Kreis;1345
8231;      Pforzheim, Kreisfreie Stadt;302
8235;      Calw, Landkreis;403
8236;      Enzkreis;499
8237;      Freudenstadt, Landkreis;229
83;    Freiburg, Regierungsbezirk;6593
8311;      Freiburg im Breisgau, Kreisfreie Stadt;677
8315;      Breisgau-Hochschwarzwald, Landkreis;788
8316;      Emmendingen, Landkreis;635
8317;      Ortenaukreis;1273
8325;      Rottweil, Landkreis;373
8326;      Schwarzwald-Baar-Kreis;446
8327;      Tuttlingen, Landkreis;316
8335;      Konstanz, Landkreis;949
8336;      Lšrrach, Landkreis;719
8337;      Waldshut, Landkreis;417
84;    TŸbingen, Regierungsbezirk;6655
8415;      Reutlingen, Landkreis;837
8416;      TŸbingen, Landkreis;1031
8417;      Zollernalbkreis;430
8421;      Ulm, UniversitŠtsstadt, Kreisfreie Stadt;426
8425;      Alb-Donau-Kreis;714
8426;      Biberach, Landkreis;1020
8435;      Bodenseekreis;849
8436;      Ravensburg, Landkreis;1093
8437;      Sigmaringen, Landkreis;255
9;  Bayern;46116
91;    Oberbayern, Regierungsbezirk;19524
9161;      Ingolstadt;841
9162;      MŸnchen, Landeshauptstadt;6204
9163;      Rosenheim;239
9171;      Altštting, Landkreis;284
9172;      Berchtesgadener Land, Landkreis;338
9173;      Bad Tšlz-Wolfratshausen, Landkreis;668
9174;      Dachau, Landkreis;670
9175;      Ebersberg, Landkreis;523
9176;      EichstŠtt, Landkreis;718
9177;      Erding, Landkreis;722
9178;      Freising, Landkreis;631
9179;      FŸrstenfeldbruck, Landkreis;846
9180;      Garmisch-Partenkirchen, Landkreis;229
9181;      Landsberg am Lech, Landkreis;407
9182;      Miesbach, Landkreis;442
9183;      MŸhldorf a.Inn, Landkreis;474
9184;      MŸnchen, Landkreis;1381
9185;      Neuburg-Schrobenhausen, Landkreis;432
9186;      Pfaffenhofen a.d.Ilm, Landkreis;613
9187;      Rosenheim, Landkreis;1057
9188;      Starnberg, Landkreis;460
9189;      Traunstein, Landkreis;843
9190;      Weilheim-Schongau, Landkreis;502
92;    Niederbayern, Regierungsbezirk;4843
9261;      Landshut;642
9262;      Passau;129
9263;      Straubing;203
9271;      Deggendorf, Landkreis;656
9272;      Freyung-Grafenau, Landkreis;126
9273;      Kelheim, Landkreis;458
9274;      Landshut, Landkreis;484
9275;      Passau, Landkreis;975
9276;      Regen, Landkreis;109
9277;      Rottal-Inn, Landkreis;369
9278;      Straubing-Bogen, Landkreis;383
9279;      Dingolfing-Landau, Landkreis;309
93;    Oberpfalz, Regierungsbezirk;4736
9361;      Amberg;168
9362;      Regensburg;1583
9363;      Weiden i.d.OPf.;325
9371;      Amberg-Sulzbach, Landkreis;125
9372;      Cham, Landkreis;448
9373;      Neumarkt i.d.OPf., Landkreis;757
