Index,Name,Birthrate/1000 inh,Beds in hospitals (JD)_hospital,20-40 year olds,40-65 year olds,65 year and older,Total_workingAge,Total Unemployed_unemployed,Population density (inh/km2),Kaufsumme - Total (Tsd. EUR)_worthArea,Hospitals_hospital,Avg life exp men,Avg life exp women,Differences in life exp,Spendable Income
9772,Augsburg,8.839576547231271,304.0,56164,76785,49055,95072.0,3949.0,229.2948436668503,7904,3.0,79.21,81.71,2.5,23492
9773,Dillingen an der Donau,8.37430610626487,317.0,22318,29225,18290,38857.0,1286.0,119.37971775516901,25063,2.0,79.1,82.96,3.8599999999999994,22793
9774,Günzburg,8.931978920529748,1053.0,29533,38304,23228,50646.0,1872.0,161.52484129898744,25463,6.0,78.34,82.59,4.25,24048
9775,Neu-Ulm,8.91321069350416,390.0,42755,50703,33562,68451.0,2668.0,330.1393761994301,47345,4.0,75.42,80.82,5.3999999999999915,22945
9776,Lindau (Bodensee),9.088761516368475,494.0,17764,24478,17968,29297.0,1209.0,248.6597619415675,24616,7.0,75.92,81.65,5.730000000000004,23112
9777,Ostallgäu,8.997233296298717,440.0,31575,41682,28303,51686.0,2063.0,98.72249822569198,45812,4.0,75.06,80.33,5.269999999999996,22428
9778,Unterallgäu,8.973144659910696,400.0,32424,42564,29004,54927.0,1717.0,114.15622002178756,44269,4.0,78.5,83.15,4.650000000000006,23573
9779,Donau-Ries,8.374890555407514,507.0,31649,40227,25401,54088.0,1573.0,103.0407393170104,27123,2.0,77.19,82.39,5.200000000000003,23371
9780,Oberallgäu,8.587036260741982,506.0,33740,46814,34061,57044.0,2340.0,99.91557646874038,37412,4.0,77.76,83.02,5.259999999999991,23218
10041,Regionalverband Saarbrücken,8.085405339360987,2603.0,81624,95620,73605,109850.0,16680.0,797.243327488798,23097,7.0,75.12,81.59,6.469999999999999,18923
10042,Merzig-Wadern,6.884813985018798,481.0,22664,33061,22235,33482.0,2801.0,187.32460327467263,8964,3.0,76.85,81.79,4.940000000000012,17893
10043,Neunkirchen,7.006393240363405,718.0,29416,41597,31578,47698.0,5725.0,536.5711763761835,8486,4.0,77.16,82.52,5.359999999999999,19318
10044,Saarlouis,7.755990843057932,980.0,43546,60696,44959,70806.0,5803.0,429.16675743383075,18852,5.0,76.7,81.83,5.1299999999999955,19696
10045,Saarpfalz-Kreis,7.656448846345377,1440.0,31460,44183,34684,52831.0,4081.0,345.5640535372849,13551,2.0,74.72,81.7,6.980000000000004,21429
10046,Sankt Wendel,6.479773207937722,236.0,18728,28357,20569,32506.0,1804.0,186.66162697912728,5593,1.0,77.53,82.31,4.780000000000001,25599
11000,Berlin,,,0,0,0,,,3947.6392876368204,,,75.87,81.48,5.609999999999999,18594
12051,Brandenburg an der Havel,8.662363428060468,873.0,16454,20112,19171,25855.0,4536.0,311.57060769632596,5530,3.0,78.35,82.58,4.230000000000004,16783
12052,Cottbus,7.914773240241956,1149.0,25410,27919,23997,35666.0,5267.0,603.5783482683458,4957,2.0,74.82,81.07,6.25,17722
12053,Frankfurt (Oder),7.419265991874957,932.0,13474,16803,14102,20500.0,3490.0,392.91173486641867,2010,2.0,75.74,82.27,6.530000000000001,17078
