Index,Name,Construction_ConstructionOfHouses,Houses_NumberOfHouses
5978,"Unna, Kreis",579,194440
6,Hessen,14908,2914497
64,"Darmstadt, Regierungsbezirk",10942,1833826
6411,"Darmstadt, Kreisfreie Stadt",571,73296
6412,"Frankfurt am Main, Kreisfreie Stadt",3556,346158
6413,"Offenbach am Main, Kreisfreie Stadt",376,56557
6414,"Wiesbaden, Landeshauptstadt, Kreisfreie Stadt",549,137930
6431,"Bergstra§e, Landkreis",426,125030
6432,"Darmstadt-Dieburg, Landkreis",788,133652
6433,"Gro§-Gerau, Landkreis",818,118225
6434,Hochtaunuskreis,649,108369
6435,Main-Kinzig-Kreis,822,193315
6436,Main-Taunus-Kreis,574,107310
6437,Odenwaldkreis,196,45836
6438,"Offenbach, Landkreis",703,158490
6439,Rheingau-Taunus-Kreis,222,89614
6440,Wetteraukreis,692,140046
65,"Gie§en, Regierungsbezirk",2205,484622
6531,"Gie§en, Landkreis",912,123257
6532,Lahn-Dill-Kreis,480,117695
6533,"Limburg-Weilburg, Landkreis",286,80316
6534,"Marburg-Biedenkopf, Landkreis",426,112180
6535,Vogelsbergkreis,101,51176
66,"Kassel, Regierungsbezirk",1761,596049
6611,"Kassel, Kreisfreie Stadt",267,101081
6631,"Fulda, Landkreis",701,105286
6632,"Hersfeld-Rotenburg, Landkreis",111,58203
6633,"Kassel, Landkreis",304,115663
6634,Schwalm-Eder-Kreis,130,86497
6635,"Waldeck-Frankenberg, Landkreis",202,77928
6636,Werra-Mei§ner-Kreis,46,51393
7,Rheinland-Pfalz,10711,1992448
71,"Koblenz, Stat. Region",3247,743008
7111,"Koblenz, Kreisfreie Stadt",192,59551
7131,"Ahrweiler, Landkreis",415,65328
7132,"Altenkirchen (Westerwald), Landkreis",211,61513
7133,"Bad Kreuznach, Landkreis",296,75725
7134,"Birkenfeld, Landkreis",70,44078
7135,"Cochem-Zell, Landkreis",129,32912
7137,"Mayen-Koblenz, Landkreis",875,106170
7138,"Neuwied, Landkreis",288,88994
7140,Rhein-HunsrŸck-Kreis,229,50961
7141,Rhein-Lahn-Kreis,154,63425
7143,Westerwaldkreis,388,94354
72,"Trier, Stat. Region",1707,262078
7211,"Trier, Kreisfreie Stadt",293,56313
7231,"Bernkastel-Wittlich, Landkreis",388,57389
7232,Eifelkreis Bitburg-PrŸm,374,48541
7233,"Vulkaneifel, Landkreis",125,31890
7235,"Trier-Saarburg, Landkreis",527,67946
73,"Rheinhessen-Pfalz, Stat. Region",5757,987362
7311,"Frankenthal (Pfalz), Kreisfreie Stadt",43,21405
7312,"Kaiserslautern, Kreisfreie Stadt",195,53646
7313,"Landau in der Pfalz, Kreisfreie Stadt",269,22126
7314,"Ludwigshafen am Rhein, Kreisfreie Stadt",404,78036
7315,"Mainz, Kreisfreie Stadt",982,98029
7316,"Neustadt an der Weinstra§e, Kreisfreie Stadt",108,27477
7317,"Pirmasens, Kreisfreie Stadt",29,24757
7318,"Speyer, Kreisfreie Stadt",169,25116
7319,"Worms, Kreisfreie Stadt",45,40880
7320,"ZweibrŸcken, Kreisfreie Stadt",36,18182
7331,"Alzey-Worms, Landkreis",392,57098
7332,"Bad DŸrkheim, Landkreis",391,64073
7333,Donnersbergkreis,128,35901
7334,"Germersheim, Landkreis",365,55415
7335,"Kaiserslautern, Landkreis",332,58528
7336,"Kusel, Landkreis",189,36613
7337,"SŸdliche Weinstra§e, Landkreis",386,52967
7338,Rhein-Pfalz-Kreis,575,68806
7339,"Mainz-Bingen, Landkreis",555,98852
7340,"SŸdwestpfalz, Landkreis",164,49461
8,Baden-WŸrttemberg,31924,5073872
81,"Stuttgart, Regierungsbezirk",11906,1888832
8111,"Stuttgart, Landeshauptstadt, Kreisfreie Stadt",1599,301739
8115,"Bšblingen, Landkreis",1553,171492
8116,"Esslingen, Landkreis",1569,247770
8117,"Gšppingen, Landkreis",548,118502
8118,"Ludwigsburg, Landkreis",1600,246238
8119,Rems-Murr-Kreis,1269,197560
8121,"Heilbronn, Kreisfreie Stadt",496,58494
8125,"Heilbronn, Landkreis",1004,148966
8126,Hohenlohekreis,345,49082
8127,"SchwŠbisch Hall, Landkreis",681,85245
8128,Main-Tauber-Kreis,278,63238
8135,"Heidenheim, Landkreis",271,59464
8136,Ostalbkreis,693,141046
82,"Karlsruhe, Regierungsbezirk",6770,1327150
8211,"Baden-Baden, Kreisfreie Stadt",122,30112
8212,"Karlsruhe, Kreisfreie Stadt",703,150703
8215,"Karlsruhe, Landkreis",1006,202165
8216,"Rastatt, Landkreis",488,108228
8221,"Heidelberg, Kreisfreie Stadt",826,70882
8222,"Mannheim, UniversitŠtsstadt, Kreisfreie Stadt",623,156911
8225,Neckar-Odenwald-Kreis,224,66137
8226,Rhein-Neckar-Kreis,1345,262420
8231,"Pforzheim, Kreisfreie Stadt",302,58997
8235,"Calw, Landkreis",403,74313
8236,Enzkreis,499,90364
8237,"Freudenstadt, Landkreis",229,55921
83,"Freiburg, Regierungsbezirk",6593,1040200
