,Index,Name,Type,Total_births,Male_births,Female_births,Hospitals_hospital,Beds in hospitals (JD)_hospital,Opthamology_hospital,Surgery_hospital,Welfare and obstetrics_hospital,"Ear, nose, and throat specialists_hospital",Skin and venereal disease_hospital,Internal Medicine_hospital,Geriatrics_hospital,Pediatrics_hospital,Neurology_hospital,Orthopedics_hospital,Urology_hospital,Other areas_hospital,Children and youth psychiatry and psychotherapy_hospital,Psychiatry and psychotherapy_hospital,Psychotherapeutic medicine_hospital,Total_deaths,Male_deaths,Female_deaths,"Graduates, Male_edu","Graduates, Female_edu","Hauptschulabschluss Graduates, Male_edu","Hauptschulabschluss Graduates, Female_edu","Mittlerem Abschluss Graduates, Male_edu","Mittlerem Abschluss Graduates, Female_edu","Fachhochschulreife Graduates, Male_edu","Fachhochschulreife Graduates, Female_edu","Allg. Hochschulreife-einschl.fachge.Hochschulreife Graduates, Male_edu","Allg. Hochschulreife-einschl.fachge.Hochschulreife Graduates, Female_edu","nachrichtl.: zus.erw.schul.Teil d. Fachhochs.reife, Male_edu","nachrichtl.: zus.erw.schul.Teil d. Fachhochs.reife, Female_edu","Total, Under 3 years_age","Total, 3 to under 6 years_age","Total, 6 to under 10 years_age","Total, 10 to under 15 years_age","Total, 15 to under 18 years_age","Total, 18 to under 20 years_age","Total, 20 to under 25 years_age","Total, 25 to under 30 years_age","Total, 30 to under 35 years_age","Total, 35 to under 40 years_age","Total, 40 to under 45 years_age","Total, 45 to under 50 years_age","Total, 50 to under 55 years_age","Total, 55 to under 60 years_age","Total, 60 to under 65 years_age","Total, 65 to under 75 years_age","Total, 75 years and older_age",Total_age,"Male, Under 3 years_age","Male, 3 to under 6 years_age","Male, 6 to under 10 years_age","Male, 10 to under 15 years_age","Male, 15 to under 18 years_age","Male, 18 to under 20 years_age","Male, 20 to under 25 years_age","Male, 25 to under 30 years_age","Male, 30 to under 35 years_age","Male, 35 to under 40 years_age","Male, 40 to under 45 years_age","Male, 45 to under 50 years_age","Male, 50 to under 55 years_age","Male, 55 to under 60 years_age","Male, 60 to under 65 years_age","Male, 65 to under 75 years_age","Male, 75 years and older_age","Male, Total_age","Female, Under 3 years_age","Female, 3 to under 6 years_age","Female, 6 to under 10 years_age","Female, 10 to under 15 years_age","Female, 15 to under 18 years_age","Female, 18 to under 20 years_age","Female, 20 to under 25 years_age","Female, 25 to under 30 years_age","Female, 30 to under 35 years_age","Female, 35 to under 40 years_age","Female, 40 to under 45 years_age","Female, 45 to under 50 years_age","Female, 50 to under 55 years_age","Female, 55 to under 60 years_age","Female, 60 to under 65 years_age","Female, 65 to under 75 years_age","Female, 75 years and older_age","Female, Total_age",Total_workingAge,"Total, Male_workingAge","Total, Female_workingAge",Foreigners_workingAge,"Foreigneres, Male_workingAge","Foreigners, Female_workingAge",Area (km^2)_surface,Total Unemployed_unemployed,Foreigners_unemployed,Severely Impaired_unemployed,15 to under 20 years_unemployed,15 to under 25 years_unemployed,55 to under 65 years_unemployed,Long-term Unemployed_unemployed,Veräußerungsfälle von Bauland - Total (Number)_worthArea,Veräußerte Baulandfläche - Total (1000 qm)_worthArea,Kaufsumme - Total (Tsd. EUR)_worthArea,Durchschnittlicher Kaufwert je qm - Total (EUR)_worthArea,Veräußerungsfälle von Bauland - Building Land (Number)_worthArea,Veräußerte Baulandfläche - Building Land (1000 qm)_worthArea,Kaufsumme - Building Land (Tsd. EUR)_worthArea,Durchschnittlicher Kaufwert je qm - Building Land (EUR)_worthArea
62,4011,Bremen, kreisfreie Stadt,5347,2744,2603,10,4065,61,821,271,151,32,1040,228,159,134,317,94,199,50,490,18,6316,3076,3240,.,.,.,.,.,.,.,.,.,.,.,.,15298,13641,18509,22834,15927,11834,35965,42617,38993,34435,33839,42678,43527,37316,31997,57027,61027,557464,7885,7038,9470,11940,8568,6346,18203,21938,19939,17683,17198,21946,22081,18293,15291,26779,23521,274119,7413,6603,9039,10894,7359,5488,17762,20679,19054,16752,16641,20732,21446,19023,16706,30248,37506,283345,185707,99234,86473,18916,11777,7139,326.18,28597,8387,1252,431,2537,4686,12631,...,...,...,...,...,...,...,...
63,4012,Bremerhaven, kreisfreie Stadt,1162,597,565,3,1072,7,329,65,30,22,356,50,50,58,0,0,17,0,88,-,1495,763,732,.,.,.,.,.,.,.,.,.,.,.,.,3330,3224,4291,5283,3472,2550,7107,7840,6900,6595,6661,8044,8858,8096,7339,12011,12424,114025,1707,1645,2214,2707,1763,1299,3777,4253,3762,3565,3528,4208,4450,4014,3452,5659,4773,56776,1623,1579,2077,2576,1709,1251,3330,3587,3138,3030,3133,3836,4408,4082,3887,6352,7651,57249,36309,20357,15952,3706,2490,1216,93.66,8758,2122,367,161,830,1380,3653,...,...,...,...,...,...,...,...
64,5111,Düsseldorf, kreisfreie Stadt,6523,3385,3138,14,5129,86,1266,467,148,68,1460,120,247,139,275,182,96,32,519,24,6327,2959,3368,1839,932,316,110,539,281,516,315,468,226,493,258,18652,16723,21212,24300,14642,10744,33897,48300,49868,44147,41629,49263,47315,39138,32828,57272,62248,612178,9537,8629,10917,12485,7602,5395,16164,22900,24428,22238,21260,25453,24089,19213,15429,25963,24194,295896,9115,8094,10295,11815,7040,5349,17733,25400,25440,21909,20369,23810,23226,19925,17399,31309,38054,316282,217695,112512,105183,33377,19022,14355,217.41,27298,9239,1875,244,1505,5021,11385,9,24,18659,"768,17",9,24,18659,"768,17"
65,5112,Duisburg, kreisfreie Stadt,4570,2388,2182,8,4522,40,1494,260,121,50,1392,188,133,164,100,136,27,25,372,20,6317,3140,3177,1080,521,137,69,479,222,321,151,143,79,271,161,13470,12801,17373,22676,14889,10844,30473,33725,29712,29680,30694,37993,40092,35129,30012,46424,55244,491231,6979,6548,8937,11700,7728,5706,15917,17269,15207,15013,15433,19436,20581,17637,14404,21484,21438,241417,6491,6253,8436,10976,7161,5138,14556,16456,14505,14667,15261,18557,19511,17492,15608,24940,33806,249814,155828,90105,65723,20141,14148,5993,232.8,32605,10272,2268,510,2663,5043,14794,17,11,3868,"357,00",16,10,3783,"388,54"
66,5113,Essen, kreisfreie Stadt,5618,2861,2757,13,5629,97,1352,277,162,56,2000,144,154,221,179,174,161,61,561,30,7457,3546,3911,1592,790,374,144,470,223,525,317,223,106,398,153,16037,14538,19572,24337,15688,11678,36778,42295,38891,35283,34953,44335,45567,41144,35989,58427,67112,582624,8312,7370,10089,12519,8250,6093,18273,21310,19853,17872,17617,22517,22990,20211,17180,26908,25201,282565,7725,7168,9483,11818,7438,5585,18505,20985,19038,17411,17336,21818,22577,20933,18809,31519,41911,300059,185035,99160,85875,14742,8666,6076,210.34,35272,10117,1833,598,3404,4950,16974,47,120,39397,"326,99",45,107,38352,"357,86"
67,5114,Krefeld, kreisfreie Stadt,1978,996,982,4,2015,34,496,100,39,61,549,75,73,134,-,118,45,-,291,-,2745,1291,1454,881,430,166,79,230,110,230,124,255,117,334,164,5768,5743,7828,10313,6803,4991,12920,14052,12970,12610,13511,18701,18858,16878,13884,23402,25912,225144,2963,3021,4054,5319,3563,2563,6713,7223,6492,6251,6675,9279,9588,8363,6543,10673,10204,109487,2805,2722,3774,4994,3240,2428,6207,6829,6478,6359,6836,9422,9270,8515,7341,12729,15708,115657,75323,41844,33479,8074,5200,2874,137.77,12825,2950,869,116,873,2482,6014,34,125,8376,"67,18",29,25,4985,"201,93"
68,5116,Mönchengladbach, kreisfreie Stadt,2351,1228,1123,5,2174,5,491,239,63,-,679,123,131,95,60,118,40,-,130,-,3166,1520,1646,830,504,75,37,274,180,388,253,93,34,203,76,6893,6557,8896,11858,7830,5843,16048,17637,15963,14758,15161,20501,22241,19697,16435,25779,27899,259996,3546,3381,4604,6071,4040,2962,8092,9080,8260,7344,7544,10510,11158,9745,7974,12279,10922,127512,3347,3176,4292,5787,3790,2881,7956,8557,7703,7414,7617,9991,11083,9952,8461,13500,16977,132484,85849,47107,38742,7706,4980,2726,170.47,14426,3240,1102,293,1403,2380,5591,25,14,2652,"188,37",25,14,2652,"188,37"
69,5117,Mülheim an der Ruhr, kreisfreie Stadt,1413,748,665,2,900,63,290,47,6,-,331,46,-,-,15,-,19,-,83,-,2224,1056,1168,313,132,73,28,118,55,93,40,29,9,95,35,4298,4261,5568,7173,4646,3376,8968,9955,9359,9422,9856,13964,14304,12832,11087,18494,21715,169278,2275,2176,2819,3707,2397,1780,4785,5195,4643,4552,4848,6883,7103,6231,5255,8386,8426,81461,2023,2085,2749,3466,2249,1596,4183,4760,4716,4870,5008,7081,7201,6601,5832,10108,13289,87817,55486,30098,25388,4892,3057,1835,91.28,6817,2118,383,42,278,1499,3419,14,11,3884,"366,71",14,11,3884,"366,71"
70,5119,Oberhausen, kreisfreie Stadt,1767,913,854,4,1460,-,369,111,19,30,469,131,79,45,67,26,-,-,114,-,2773,1353,1420,413,173,111,45,151,83,134,45,17,-,121,59,5291,5297,6951,9125,6153,4537,12288,13218,12669,12573,12496,16686,17851,16360,14244,21287,23908,210934,2724,2742,3553,4604,3157,2396,6478,6870,6290,6340,6494,8422,9003,7997,6919,10077,9218,103284,2567,2555,3398,4521,2996,2141,5810,6348,6379,6233,6002,8264,8848,8363,7325,11210,14690,107650,69552,39041,30511,6172,4083,2089,77.09,12708,3333,925,220,1227,2421,6522,66,31,7975,"254,72",66,31,7975,"254,72"
71,5120,Remscheid, kreisfreie Stadt,920,473,447,3,1047,-,129,33,22,-,193,45,34,101,45,-,-,30,415,-,1453,708,745,338,161,46,9,149,82,92,48,51,22,136,35,2845,2705,3772,5128,3403,2375,6017,6301,5783,6269,6601,9086,9612,8392,6806,11737,12667,109499,1461,1405,1876,2615,1766,1184,3111,3226,3015,3145,3326,4598,5014,4207,3311,5536,4929,53725,1384,1300,1896,2513,1637,1191,2906,3075,2768,3124,3275,4488,4598,4185,3495,6201,7738,55774,38999,22047,16952,5331,3657,1674,74.52,4957,1473,327,77,470,842,2173,17,21,2295,"110,33",13,9,1363,"159,33"
72,5122,Solingen, kreisfreie Stadt,1473,753,720,4,1145,-,298,115,43,-,485,40,35,68,-,50,11,-,-,-,2033,927,1106,281,105,48,23,106,35,64,14,63,33,59,27,4305,4128,5690,7542,5044,3595,8955,9503,9125,9072,9436,13257,14025,11832,9173,15693,18351,158726,2220,2125,2886,3888,2645,1928,4634,4699,4474,4378,4628,6546,6986,5929,4468,7316,7198,76948,2085,2003,2804,3654,2399,1667,4321,4804,4651,4694,4808,6711,7039,5903,4705,8377,11153,81778,56912,30418,26494,7119,4395,2724,89.54,7602,2299,406,164,817,1176,3161,48,92,10226,"110,58",44,32,5943,"185,74"
73,5124,Wuppertal, kreisfreie Stadt,3294,1688,1606,3,2070,35,590,126,85,50,667,108,98,81,110,80,40,-,-,-,4175,2058,2117,1150,524,288,66,376,213,422,224,64,21,74,34,9554,9276,12419,15969,10509,7513,21804,24149,21711,20271,20789,27580,29135,24954,20302,35056,39055,350046,4973,4723,6247,8168,5377,3891,11040,12463,11185,10317,10377,14054,14730,12433,9577,16273,14994,170822,4581,4553,6172,7801,5132,3622,10764,11686,10526,9954,10412,13526,14405,12521,10725,18783,24061,179224,115057,62834,52223,13998,8741,5257,168.39,17253,5645,890,303,1501,2551,6868,32,42,4675,"111,91",31,40,4559,"112,57"
74,5154,Kleve, Landkreis,2574,1308,1266,7,1795,-,390,100,35,-,557,93,70,88,90,50,-,30,292,-,3519,1742,1777,872,512,130,51,258,150,242,161,242,150,422,162,7939,7978,11095,15246,10255,7502,18837,18606,17846,17224,18537,26153,27845,23752,20225,30055,31242,310337,4113,4126,5774,7794,5273,4066,10269,9867,9297,8898,9288,13037,14159,11947,10022,14582,12476,154988,3826,3852,5321,7452,4982,3436,8568,8739,8549,8326,9249,13116,13686,11805,10203,15473,18766,155349,102305,56380,45925,7097,4563,2534,1232.99,10494,1941,666,187,1131,1961,4840,244,410,23396,"57,01",216,165,18819,"114,40"
75,5158,Mettmann, Landkreis,4029,2058,1971,11,2379,-,498,226,37,-,787,-,33,-,90,50,-,12,646,-,5952,2835,3117,926,454,137,63,322,165,271,125,196,101,456,183,12393,12385,17104,22510,14572,10366,23271,24775,25518,26132,28845,40902,43119,36987,30538,54099,59763,483279,6341,6288,8656,11638,7511,5425,12287,12582,12434,12624,14107,20153,21366,18173,14591,24611,24661,233448,6052,6097,8448,10872,7061,4941,10984,12193,13084,13508,14738,20749,21753,18814,15947,29488,35102,249831,174146,93422,80724,15291,9379,5912,407.22,17174,4290,1008,189,1247,3719,7604,40,141,8378,"59,42",38,27,4850,"181,93"
