,Index,Name,Type,Total_births,Male_births,Female_births,Hospitals_hospital,Beds in hospitals (JD)_hospital,Opthamology_hospital,Surgery_hospital,Welfare and obstetrics_hospital,"Ear, nose, and throat specialists_hospital",Skin and venereal disease_hospital,Internal Medicine_hospital,Geriatrics_hospital,Pediatrics_hospital,Neurology_hospital,Orthopedics_hospital,Urology_hospital,Other areas_hospital,Children and youth psychiatry and psychotherapy_hospital,Psychiatry and psychotherapy_hospital,Psychotherapeutic medicine_hospital,Total_deaths,Male_deaths,Female_deaths,"Graduates, Male_edu","Graduates, Female_edu","Hauptschulabschluss Graduates, Male_edu","Hauptschulabschluss Graduates, Female_edu","Mittlerem Abschluss Graduates, Male_edu","Mittlerem Abschluss Graduates, Female_edu","Fachhochschulreife Graduates, Male_edu","Fachhochschulreife Graduates, Female_edu","Allg. Hochschulreife-einschl.fachge.Hochschulreife Graduates, Male_edu","Allg. Hochschulreife-einschl.fachge.Hochschulreife Graduates, Female_edu","nachrichtl.: zus.erw.schul.Teil d. Fachhochs.reife, Male_edu","nachrichtl.: zus.erw.schul.Teil d. Fachhochs.reife, Female_edu","Total, Under 3 years_age","Total, 3 to under 6 years_age","Total, 6 to under 10 years_age","Total, 10 to under 15 years_age","Total, 15 to under 18 years_age","Total, 18 to under 20 years_age","Total, 20 to under 25 years_age","Total, 25 to under 30 years_age","Total, 30 to under 35 years_age","Total, 35 to under 40 years_age","Total, 40 to under 45 years_age","Total, 45 to under 50 years_age","Total, 50 to under 55 years_age","Total, 55 to under 60 years_age","Total, 60 to under 65 years_age","Total, 65 to under 75 years_age","Total, 75 years and older_age",Total_age,"Male, Under 3 years_age","Male, 3 to under 6 years_age","Male, 6 to under 10 years_age","Male, 10 to under 15 years_age","Male, 15 to under 18 years_age","Male, 18 to under 20 years_age","Male, 20 to under 25 years_age","Male, 25 to under 30 years_age","Male, 30 to under 35 years_age","Male, 35 to under 40 years_age","Male, 40 to under 45 years_age","Male, 45 to under 50 years_age","Male, 50 to under 55 years_age","Male, 55 to under 60 years_age","Male, 60 to under 65 years_age","Male, 65 to under 75 years_age","Male, 75 years and older_age","Male, Total_age","Female, Under 3 years_age","Female, 3 to under 6 years_age","Female, 6 to under 10 years_age","Female, 10 to under 15 years_age","Female, 15 to under 18 years_age","Female, 18 to under 20 years_age","Female, 20 to under 25 years_age","Female, 25 to under 30 years_age","Female, 30 to under 35 years_age","Female, 35 to under 40 years_age","Female, 40 to under 45 years_age","Female, 45 to under 50 years_age","Female, 50 to under 55 years_age","Female, 55 to under 60 years_age","Female, 60 to under 65 years_age","Female, 65 to under 75 years_age","Female, 75 years and older_age","Female, Total_age",Total_workingAge,"Total, Male_workingAge","Total, Female_workingAge",Foreigners_workingAge,"Foreigneres, Male_workingAge","Foreigners, Female_workingAge",Area (km^2)_surface,Total Unemployed_unemployed,Foreigners_unemployed,Severely Impaired_unemployed,15 to under 20 years_unemployed,15 to under 25 years_unemployed,55 to under 65 years_unemployed,Long-term Unemployed_unemployed,Veräußerungsfälle von Bauland - Total (Number)_worthArea,Veräußerte Baulandfläche - Total (1000 qm)_worthArea,Kaufsumme - Total (Tsd. EUR)_worthArea,Durchschnittlicher Kaufwert je qm - Total (EUR)_worthArea,Veräußerungsfälle von Bauland - Building Land (Number)_worthArea,Veräußerte Baulandfläche - Building Land (1000 qm)_worthArea,Kaufsumme - Building Land (Tsd. EUR)_worthArea,Durchschnittlicher Kaufwert je qm - Building Land (EUR)_worthArea
90,5512,Bottrop, kreisfreie Stadt,935,473,462,2,704,4,193,43,4,-,274,-,63,45,48,30,-,-,-,-,1508,694,814,172,79,17,11,55,25,65,27,35,16,100,52,2784,2686,3777,5290,3573,2611,6445,6868,6580,6713,7050,9556,10235,9524,8118,12044,13289,117143,1433,1406,1897,2714,1854,1385,3446,3565,3294,3427,3529,4710,5085,4717,3886,5664,4992,57004,1351,1280,1880,2576,1719,1226,2999,3303,3286,3286,3521,4846,5150,4807,4232,6380,8297,60139,39038,21639,17399,2483,1665,818,100.61,4758,961,288,84,496,802,2016,24,22,3320,"151,64",22,19,3029,"157,66"
91,5513,Gelsenkirchen, kreisfreie Stadt,2469,1277,1192,5,1752,9,434,132,51,-,513,45,138,57,65,73,20,-,215,-,3448,1733,1715,769,392,248,89,275,171,145,83,101,49,240,128,7037,6873,9465,12188,8130,5869,15651,17417,15472,15383,16279,20244,20794,19429,16629,25365,28143,260368,3620,3546,4951,6440,4268,3091,8291,9154,8031,7966,8400,10432,10713,9752,8089,12137,10386,129267,3417,3327,4514,5748,3862,2778,7360,8263,7441,7417,7879,9812,10081,9677,8540,13228,17757,131101,75952,43308,32644,8167,5624,2543,104.94,18445,5165,1194,282,1744,3211,8368,8,21,2541,"121,22",7,12,2066,"168,56"
92,5515,Münster, kreisfreie Stadt,3134,1586,1548,9,3716,56,896,209,90,116,880,55,248,202,177,91,92,50,542,12,2642,1232,1410,1421,699,134,31,342,165,581,311,364,192,484,227,8684,7700,9953,12083,7941,7759,31234,31327,24859,19372,17886,21930,22524,19064,15786,23672,28265,310039,4510,3902,5186,6226,4109,3592,13676,15319,12693,9791,9043,10903,10990,9321,7594,10889,10703,148447,4174,3798,4767,5857,3832,4167,17558,16008,12166,9581,8843,11027,11534,9743,8192,12783,17562,161592,105303,53251,52052,7488,4305,3183,303.28,9267,1896,554,132,801,1659,3846,30,110,15595,"141,85",28,101,15119,"149,68"
93,5554,Borken, Landkreis,3498,1800,1698,8,1916,17,494,166,20,-,587,95,40,136,60,98,13,-,150,40,3681,1792,1889,1290,640,244,89,252,114,423,236,371,201,600,336,10425,10423,14533,20292,14015,9699,23036,22384,21176,20843,22913,31535,32863,26852,21897,31660,35120,369666,5286,5299,7437,10481,7226,5265,12517,11784,10867,10530,11608,16064,16761,13544,10924,15455,13925,184973,5139,5124,7096,9811,6789,4434,10519,10600,10309,10313,11305,15471,16102,13308,10973,16205,21195,184693,136619,80168,56451,5749,3994,1755,1420.98,8440,1494,588,144,1002,1765,3346,149,152,12375,"81,34",138,82,11186,"137,19"
94,5558,Coesfeld, Landkreis,1868,940,928,3,856,2,191,54,15,-,311,90,50,35,-,-,-,-,108,-,2187,1007,1180,710,387,103,42,107,66,288,156,212,123,296,131,5755,5639,7961,11309,8233,5733,12061,11368,11500,12057,13141,18850,20167,17530,14382,20566,22149,218401,2993,2914,4088,5840,4167,3047,6650,6117,5791,6071,6526,9396,9929,8679,7138,9852,8755,107953,2762,2725,3873,5469,4066,2686,5411,5251,5709,5986,6615,9454,10238,8851,7244,10714,13394,110448,82414,45309,37105,2482,1632,850,1112.04,3653,420,212,84,460,809,982,16,9,1123,"127,09",16,9,1123,"127,09"
95,5562,Recklinghausen, Landkreis,4977,2597,2380,12,4946,10,1139,341,137,45,1567,310,189,170,230,182,41,169,416,-,7816,3842,3974,2196,1188,266,127,689,371,692,397,549,293,707,348,15067,14805,20338,28033,19275,13559,33369,34388,33156,34479,37694,50644,53646,49920,43290,64980,71164,617807,7845,7636,10465,14505,9995,7172,17754,17962,16896,17182,18651,25325,26883,24526,20717,30795,27584,301893,7222,7169,9873,13528,9280,6387,15615,16426,16260,17297,19043,25319,26763,25394,22573,34185,43580,315914,201980,112352,89628,13190,8911,4279,761.31,33626,6845,1725,531,2980,6334,18190,99,182,15412,"84,70",86,97,11882,"122,34"
96,5566,Steinfurt, Landkreis,3901,2034,1867,9,2288,3,577,149,35,-,769,68,40,72,57,68,5,-,391,54,4509,2263,2246,1842,1010,147,49,441,258,543,323,711,380,537,238,12064,12204,16958,23749,16502,11629,26099,25267,24304,24509,27413,38329,39704,32885,26728,39731,45299,443374,6221,6316,8765,12221,8516,6247,14489,13520,12476,12323,13578,19176,19991,16602,13256,19238,17847,220782,5843,5888,8193,11528,7986,5382,11610,11747,11828,12186,13835,19153,19713,16283,13472,20493,27452,222592,165797,93219,72578,7646,5177,2469,1795.76,11557,2462,860,286,1468,1944,4002,178,132,10472,"79,55",169,98,9827,"100,66"
97,5570,Warendorf, Landkreis,2427,1236,1191,7,1530,-,295,101,24,-,456,40,77,36,230,50,-,-,221,-,2745,1376,1369,577,259,58,28,202,109,201,79,116,43,394,194,7376,7356,10389,14840,10273,6884,15373,15255,14964,15523,17012,23229,24060,21166,17415,26487,29829,277431,3844,3810,5334,7603,5232,3706,8335,8202,7787,7658,8426,11833,12008,10570,8419,12764,11734,137265,3532,3546,5055,7237,5041,3178,7038,7053,7177,7865,8586,11396,12052,10596,8996,13723,18095,140166,103243,58853,44390,5786,3963,1823,1319.41,8848,2010,602,148,907,1767,3893,203,271,16490,"60,82",167,142,12973,"91,22"
98,5711,Bielefeld, kreisfreie Stadt,3261,1696,1565,7,3966,35,875,245,112,35,1119,108,120,265,48,95,45,-,829,35,3571,1727,1844,1271,659,254,80,340,220,507,259,170,100,265,131,9410,9047,12041,15511,10248,7931,22895,25546,23102,20152,20674,24891,25229,21679,18489,29564,36681,333090,4856,4662,6184,8017,5250,3997,10986,12694,11570,10087,10318,12665,12746,10489,8803,13710,14114,161148,4554,4385,5857,7494,4998,3934,11909,12852,11532,10065,10356,12226,12483,11190,9686,15854,22567,171942,113808,60912,52896,11530,7119,4411,258.82,15808,5119,694,228,1464,2320,6630,142,81,15240,"188,19",141,79,15150,"190,85"
99,5754,Gütersloh, Landkreis,3310,1703,1607,3,1236,5,261,104,16,-,287,60,-,71,73,40,16,-,283,20,3488,1693,1795,764,415,129,46,205,117,280,173,150,79,454,212,10099,9970,13695,18871,12845,9051,21405,21704,21218,20928,22950,30626,31244,26348,21014,31756,36918,360642,5226,5025,7084,9798,6613,4788,11782,11767,11092,10631,11397,15592,15725,13365,10391,15175,14771,180222,4873,4945,6611,9073,6232,4263,9623,9937,10126,10297,11553,15034,15519,12983,10623,16581,22147,180420,139407,79256,60151,11254,7500,3754,969.21,10258,2724,538,147,1086,1937,3952,90,92,8887,"96,22",86,62,7806,"125,44"
100,5758,Herford, Landkreis,2209,1173,1036,3,1100,2,328,87,2,-,324,63,68,61,-,60,13,-,92,-,3004,1380,1624,881,432,88,24,264,141,344,157,185,110,357,195,6628,6465,9071,12181,8466,6007,13821,14327,13939,14017,15289,20527,21896,19163,15683,24362,30280,252122,3417,3362,4683,6238,4397,3223,7570,7505,7050,6992,7553,10282,11018,9646,7643,11667,11689,123935,3211,3103,4388,5943,4069,2784,6251,6822,6889,7025,7736,10245,10878,9517,8040,12695,18591,128187,93150,50441,42709,4950,3180,1770,450.41,8084,1582,529,132,808,1652,3130,139,143,10438,"72,99",132,120,9443,"78,87"
101,5762,Höxter, Landkreis,1109,555,554,2,924,3,219,41,10,-,331,35,42,40,74,47,-,-,82,-,1710,843,867,630,344,117,30,127,76,276,187,110,51,205,80,3516,3539,5129,7324,5185,3700,8271,8033,7398,7538,8168,11663,12573,11394,9671,13911,16997,144010,1779,1883,2630,3763,2686,1967,4701,4454,3955,3828,3978,5876,6415,5749,4856,6770,6716,72006,1737,1656,2499,3561,2499,1733,3570,3579,3443,3710,4190,5787,6158,5645,4815,7141,10281,72004,51331,29362,21969,1438,938,500,1201.42,3786,372,278,55,369,893,1363,74,92,3382,"36,68",67,55,2189,"40,08"
102,5766,Lippe, Landkreis,3133,1642,1491,5,1631,6,354,127,10,40,409,65,68,65,75,69,10,48,285,-,4330,2072,2258,938,490,138,54,285,149,329,182,186,105,319,161,9614,9619,13423,17849,11984,8545,20448,20175,18826,18566,19795,27520,29286,26409,21989,34542,42160,350750,5034,4964,6872,9221,6193,4535,10995,10954,9729,9240,9769,13606,14559,13224,10649,16358,16588,172490,4580,4655,6551,8628,5791,4010,9453,9221,9097,9326,10026,13914,14727,13185,11340,18184,25572,178260,124281,68039,56242,5238,3461,1777,1246.21,13085,2388,654,225,1369,2367,5847,157,126,11745,"92,92",152,112,11330,"101,57"
103,5770,Minden-Lübbecke, Landkreis,2691,1408,1283,9,2371,4,739,100,43,60,810,75,95,61,113,71,-,-,200,-,3651,1755,1896,952,472,177,57,344,184,285,139,146,92,246,133,8272,8241,11546,15881,10799,7640,17569,18003,17027,16777,18432,25060,26923,24172,19564,29973,37171,313050,4279,4205,5926,8248,5550,4083,9536,9742,8831,8495,9096,12594,13494,11994,9565,14317,14533,154488,3993,4036,5620,7633,5249,3557,8033,8261,8196,8282,9336,12466,13429,12178,9999,15656,22638,158562,115950,63615,52335,4506,2955,1551,1152.41,9065,1449,480,195,1097,1702,3461,244,217,16208,"74,64",238,199,15830,"79,69"
104,5774,Paderborn, Landkreis,3114,1611,1503,6,1767,6,406,142,88,-,600,45,76,74,50,50,22,-,208,-,2814,1381,1433,943,464,155,51,222,113,398,210,168,90,514,249,9050,8620,11518,15395,10401,7686,21108,22560,20147,18485,18686,23350,24658,22126,18177,24814,27551,304332,4625,4369,5962,7947,5487,4155,11224,12187,10682,9308,9307,11980,12497,11022,9019,11961,10817,152549,4425,4251,5556,7448,4914,3531,9884,10373,9465,9177,9379,11370,12161,11104,9158,12853,16734,151783,111533,63894,47639,6016,4105,1911,1246.8,9914,1702,670,189,1084,2046,3642,162,244,18354,"75,18",147,117,13359,"113,71"
105,5911,Bochum, kreisfreie Stadt,3013,1490,1523,8,3562,45,1010,105,82,84,1106,201,90,213,112,55,114,43,266,36,4641,2262,2379,1005,414,160,74,479,177,253,110,113,53,325,160,8846,8274,11037,14420,9632,7602,24828,28128,24358,20858,20808,27612,28567,26720,23393,37017,42642,364742,4476,4278,5821,7501,5077,4030,12709,14451,12645,10455,10485,13885,14308,13095,11153,17109,15949,177427,4370,3996,5216,6919,4555,3572,12119,13677,11713,10403,10323,13727,14259,13625,12240,19908,26693,187315,119951,65120,54831,8627,5440,3187,145.66,18556,4256,1525,229,1553,3331,8133,29,33,3799,"116,00",23,16,3168,"192,25"
106,5913,Dortmund, kreisfreie Stadt,5481,2773,2708,11,3928,69,840,246,95,42,1276,146,130,86,248,115,34,35,566,-,7204,3503,3701,1696,745,519,178,547,241,413,229,217,97,440,204,16164,14889,19881,25607,16454,12907,39051,43973,39421,36065,35976,45257,45777,40397,35254,56289,62819,586181,8168,7540,10146,13155,8693,6773,20247,22926,20342,17958,18160,23105,23089,20142,16929,26143,24330,287846,7996,7349,9735,12452,7761,6134,18804,21047,19079,18107,17816,22152,22688,20255,18325,30146,38489,298335,189010,103876,85134,20941,13689,7252,280.71,37414,11443,2748,657,3377,6021,17075,83,77,14658,"191,56",81,65,13822,"211,53"
107,5914,Hagen, kreisfreie Stadt,1764,906,858,5,1732,34,387,102,61,20,612,56,65,69,50,60,37,-,163,16,2549,1231,1318,480,227,120,46,163,86,123,60,74,35,188,75,5130,4864,6632,9008,5831,4254,10799,11682,10661,10641,10948,14839,15857,13885,11800,19564,22649,189044,2669,2531,3375,4690,2934,2147,5617,6140,5584,5356,5415,7455,8038,6854,5721,8990,8691,92207,2461,2333,3257,4318,2897,2107,5182,5542,5077,5285,5533,7384,7819,7031,6079,10574,13958,96837,63129,35389,27740,7853,5242,2611,160.45,10052,3357,697,210,1034,1522,4489,-,-,-,-,-,-,-,-
108,5915,Hamm, kreisfreie Stadt,1624,843,781,5,1753,8,428,86,20,-,686,40,105,42,53,45,34,110,96,-,2129,1043,1086,663,418,66,29,200,123,251,180,146,86,191,109,5009,4792,6681,8932,6159,4443,10942,11337,10623,10931,11250,13741,14144,12682,11288,17366,19077,179397,2547,2449,3502,4539,3226,2308,5863,5844,5451,5549,5600,6989,7179,6136,5337,8226,7421,88166,2462,2343,3179,4393,2933,2135,5079,5493,5172,5382,5650,6752,6965,6546,5951,9140,11656,91231,58024,32581,25443,5719,3955,1764,226.43,8413,2287,698,120,769,1454,4887,31,20,2810,"139,94",30,17,.,.
109,5916,Herne, kreisfreie Stadt,1305,682,623,5,1625,3,375,118,6,-,597,82,-,53,144,90,22,-,135,-,2126,1020,1106,557,268,155,55,214,116,96,51,92,46,167,81,3946,3805,5112,7032,4822,3521,9101,9668,8883,9046,9884,12460,12924,11454,10094,16034,18065,155851,2060,1934,2597,3594,2453,1849,4599,5007,4531,4697,5071,6387,6623,5657,4773,7486,6622,75940,1886,1871,2515,3438,2369,1672,4502,4661,4352,4349,4813,6073,6301,5797,5321,8548,11443,79911,47558,26495,21063,4803,3227,1576,51.42,10110,2804,747,154,864,1515,4201,3,1,99,"97,42",1,1,.,.
110,5954,Ennepe-Ruhr-Kreis,,2577,1296,1281,7,1894,-,464,190,40,-,520,129,118,72,135,75,17,64,54,16,4405,2118,2287,607,275,221,98,221,82,93,56,72,39,279,133,7891,7618,10403,13955,9525,6955,17562,18239,17650,17458,18681,27435,29343,25609,22027,36003,39600,325954,3996,3881,5325,7230,4981,3743,9294,9382,8912,8650,9221,13539,14628,12680,10501,16821,15528,158312,3895,3737,5078,6725,4544,3212,8268,8857,8738,8808,9460,13896,14715,12929,11526,19182,24072,167642,115296,62754,52542,7786,5031,2755,409.64,11770,2337,963,129,786,2392,5028,38,56,5175,"92,47",30,23,3782,"165,36"
111,5958,Hochsauerlandkreis,,2040,1017,1023,11,2095,9,430,116,13,-,760,48,40,223,130,57,11,83,175,-,3319,1612,1707,1109,566,203,63,230,106,467,264,209,133,278,138,6352,6271,9188,13385,9203,6354,14836,14978,14084,14026,15772,21928,23365,20490,17071,25678,30781,263762,3257,3267,4771,6932,4880,3533,8365,8109,7313,6951,7923,11210,11934,10389,8435,12392,12103,131764,3095,3004,4417,6453,4323,2821,6471,6869,6771,7075,7849,10718,11431,10101,8636,13286,18678,131998,99180,57617,41563,5508,3840,1668,1960.17,6987,1128,514,92,706,1428,2871,145,118,8364,"70,68",144,114,8114,"71,07"
112,5962,Märkischer Kreis,,3580,1876,1704,12,2931,17,583,182,55,33,977,40,91,57,260,68,72,34,438,24,5062,2454,2608,1463,716,373,108,406,257,443,207,241,144,577,319,10341,10484,14567,20219,13696,9710,23307,23930,22947,22277,24299,34565,37543,32025,26775,42211,47275,416171,5344,5436,7509,10376,7037,5187,12556,12729,11707,11064,11973,17248,19032,16104,13076,19800,18809,204987,4997,5048,7058,9843,6659,4523,10751,11201,11240,11213,12326,17317,18511,15921,13699,22411,28466,211184,155617,89242,66375,16586,11174,5412,1061.06,14978,3485,1198,231,1412,3087,6215,116,100,10364,"103,47",108,71,8922,"126,00"
113,5966,Olpe, Landkreis,1266,659,607,2,832,3,263,97,14,-,264,50,-,-,42,20,-,-,79,-,1497,692,805,315,168,82,24,67,38,123,87,43,19,64,27,3710,3570,4892,6986,4970,3274,7896,8095,7818,7831,8254,11551,12278,10360,8516,12384,13980,136365,1953,1882,2579,3646,2574,1815,4312,4293,4016,3965,4130,5908,6250,5298,4308,6112,5583,68624,1757,1688,2313,3340,2396,1459,3584,3802,3802,3866,4124,5643,6028,5062,4208,6272,8397,67741,53449,32158,21291,3570,2497,1073,712.14,3328,671,291,55,356,663,1184,51,37,2836,"76,93",51,37,2836,"76,93"
114,5970,Siegen-Wittgenstein, Landkreis,2478,1249,1229,6,2109,5,505,140,24,60,651,50,108,90,90,87,29,-,270,-,3262,1591,1671,912,456,159,42,271,161,333,183,149,70,90,46,7282,7061,9380,12786,8844,6919,19001,18794,16528,15581,15847,21672,23374,21006,18262,27376,31087,280800,3749,3644,4856,6618,4516,3661,9932,10035,8541,7984,8090,11083,11963,10480,9037,12892,12545,139626,3533,3417,4524,6168,4328,3258,9069,8759,7987,7597,7757,10589,11411,10526,9225,14484,18542,141174,103974,61026,42948,6660,4732,1928,1132.89,8491,1701,654,192,991,1758,3228,70,63,4354,"68,59",67,51,4076,"80,58"
115,5974,Soest, Landkreis,2621,1394,1227,9,2044,4,504,131,16,-,614,86,98,40,71,45,15,-,420,-,3604,1714,1890,1154,604,182,67,323,168,465,275,184,94,274,134,7913,7851,10996,15161,10561,7443,17273,17224,17070,17092,18472,25156,26418,23208,19245,28836,33076,302995,4157,4095,5705,7833,5695,4098,9592,9408,8790,8618,9235,12647,13366,11669,9426,13737,12990,151061,3756,3756,5291,7328,4866,3345,7681,7816,8280,8474,9237,12509,13052,11539,9819,15099,20086,151934,110590,62195,48395,6179,4021,2158,1328.63,10049,1717,757,138,926,2080,3763,119,89,8690,"97,74",115,77,8168,"105,72"
116,5978,Unna, Landkreis,3184,1643,1541,9,2685,-,796,195,41,30,1095,75,40,147,136,72,58,-,-,-,5062,2442,2620,1155,454,207,60,434,194,329,112,185,88,344,194,9813,9450,13301,18332,12959,9236,21790,21557,21136,22256,23544,32622,34843,31412,26878,41796,45110,396035,5076,4839,6878,9460,6770,4871,11805,11435,10804,11110,11579,16109,17262,15396,12835,19662,17547,193438,4737,4611,6423,8872,6189,4365,9985,10122,10332,11146,11965,16513,17581,16016,14043,22134,27563,202597,135328,74790,60538,8619,5583,3036,543.21,18388,3552,1653,213,1344,3411,8026,97,104,9307,"89,15",93,81,8302,"102,95"
117,6411,Darmstadt, kreisfreie Stadt,1557,764,793,6,1482,34,310,147,62,56,433,40,80,91,0,62,25,20,102,20,1542,715,827,1071,518,64,38,191,87,720,361,96,32,83,57,4540,4302,5431,6303,3857,3489,13415,16450,12268,10054,9273,10947,10833,9485,7746,13185,13775,155353,2258,2159,2830,3225,2004,1993,7581,9405,6505,5226,4742,5728,5454,4725,3598,6165,5317,78915,2282,2143,2601,3078,1853,1496,5834,7045,5763,4828,4531,5219,5379,4760,4148,7020,8458,76438,53988,29052,24936,9020,5281,3739,122.09,5179,1828,246,106,492,806,1917,45,76,38109,"499,93",41,60,34621,"575,76"
118,6412,Frankfurt am Main, kreisfreie Stadt,8526,4340,4186,17,6040,109,1663,403,148,50,1598,245,316,278,413,223,159,48,357,30,6171,3048,3123,1888,872,127,64,345,161,1304,614,112,33,34,15,24054,21690,26599,29930,17838,12675,43307,65878,68589,61442,54939,58715,53709,42442,35396,58988,56497,732688,12262,10932,13517,15498,9354,6576,21132,31505,33879,31059,28805,31479,28102,21580,16970,28060,21805,362515,11792,10758,13082,14432,8484,6099,22175,34373,34710,30383,26134,27236,25607,20862,18426,30928,34692,370173,265260,139034,126226,67809,38410,29399,248.31,25719,11514,1529,432,1980,4254,9359,97,365,206419,"565,54",86,309,190807,"618,31"
119,6413,Offenbach am Main, kreisfreie Stadt,1475,764,711,5,1121,0,284,93,18,0,416,15,57,80,8,50,10,0,90,0,1133,571,562,603,304,109,42,138,78,257,157,99,27,19,4,4178,3873,4932,6021,3512,2562,7791,9979,9781,8703,8359,9477,9279,7880,6375,10602,10430,123734,2120,1966,2503,3136,1811,1351,3897,4901,4999,4378,4411,5017,4910,4030,3065,4960,4154,61609,2058,1907,2429,2885,1701,1211,3894,5078,4782,4325,3948,4460,4369,3850,3310,5642,6276,62125,43941,24521,19420,14956,9357,5599,44.89,7057,3763,558,139,542,1109,3022,46,86,40430,"467,84",20,29,18633,"650,27"
120,6414,Wiesbaden, kreisfreie Stadt,3139,1641,1498,9,2087,11,559,181,78,22,481,101,97,126,206,74,16,0,95,40,2893,1367,1526,916,432,109,43,107,52,482,228,218,109,128,46,8806,8083,10674,12819,8181,5585,15255,18579,19351,18920,18266,21780,21623,18122,15112,26985,28077,276218,4525,4150,5443,6636,4340,2867,7439,8771,9067,8966,8880,10849,10656,8783,7006,12442,11081,131901,4281,3933,5231,6183,3841,2718,7816,9808,10284,9954,9386,10931,10967,9339,8106,14543,16996,144317,99120,51042,48078,16193,9305,6888,203.93,10930,3888,640,274,1181,1579,4202,127,252,84727,"336,30",111,126,79006,"625,26"
121,6431,Bergstraße, Landkreis,2211,1133,1078,8,1036,0,260,61,7,0,405,35,0,0,37,7,0,0,208,16,3090,1500,1590,602,281,50,23,116,53,268,120,168,85,40,13,6752,6715,8770,12114,8357,6014,14003,14727,14739,15138,15995,22779,24467,21141,17540,28538,29139,266928,3425,3415,4546,6324,4358,3161,7475,7813,7519,7524,7857,11302,12320,10597,8644,13570,11978,131828,3327,3300,4224,5790,3999,2853,6528,6914,7220,7614,8138,11477,12147,10544,8896,14968,17161,135100,97676,53642,44034,9322,5670,3652,719.52,5688,1469,375,47,338,1111,2223,326,609,83845,"137,68",264,227,52972,"232,97"
122,6432,Darmstadt-Dieburg, Landkreis,2567,1338,1229,2,535,0,207,38,3,0,160,46,0,0,0,5,0,0,76,0,2947,1452,1495,308,117,61,26,48,19,99,30,100,42,17,12,7969,7859,10492,13866,9514,6747,16097,16984,16406,17653,18316,25193,26215,21972,18346,30453,28691,292773,4191,4071,5382,7093,4945,3600,8698,8933,8259,8723,9016,12660,13183,10949,8909,14707,12099,145418,3778,3788,5110,6773,4569,3147,7399,8051,8147,8930,9300,12533,13032,11023,9437,15746,16592,147355,108611,58507,50104,12129,7234,4895,658.65,7359,2021,448,140,743,1612,3192,516,511,113069,"221,38",463,300,86387,"288,21"
123,6433,Groß-Gerau, Landkreis,2751,1413,1338,3,1034,0,237,74,28,0,301,40,45,0,0,43,0,77,189,0,2604,1293,1311,502,207,39,24,139,61,219,82,105,40,7,6,8100,7628,9914,12811,8317,5963,15135,17202,17420,17716,17311,21905,22264,18180,15095,25833,25248,266042,4135,3892,5019,6644,4375,3105,7916,8860,8819,8932,8818,11257,11487,9150,7283,12289,10674,132655,3965,3736,4895,6167,3942,2858,7219,8342,8601,8784,8493,10648,10777,9030,7812,13544,14574,133387,100567,56238,44329,17862,11279,6583,453.04,8559,3760,477,181,841,1173,3411,265,492,93296,"189,78",217,136,39587,"290,68"
124,6434,Hochtaunuskreis,,2040,1039,1001,8,1127,0,157,44,2,0,314,68,0,30,0,20,0,0,492,0,2444,1164,1280,585,260,55,15,95,45,303,130,132,70,35,24,6305,6614,9402,11965,7504,4961,10529,10823,11981,13836,15654,20750,20757,16497,13543,25550,26756,233427,3190,3395,4843,6182,3958,2610,5539,5521,5747,6535,7504,10213,10201,8024,6459,11855,11021,112797,3115,3219,4559,5783,3546,2351,4990,5302,6234,7301,8150,10537,10556,8473,7084,13695,15735,120630,80892,41836,39056,10396,5639,4757,482.02,4068,1327,371,28,191,905,1610,301,303,99982,"330,17",274,188,73946,"392,79"
125,6435,Main-Kinzig-Kreis,,3597,1864,1733,4,1692,0,406,147,51,31,535,125,100,67,0,35,5,0,190,0,4443,2167,2276,1616,771,97,50,299,153,731,316,489,252,53,30,10896,10434,14648,19225,13192,9124,22035,24084,23629,24654,26208,34521,35862,30649,26071,43586,43138,411956,5668,5352,7481,9863,6872,4923,11552,12261,11964,12120,12897,17283,18027,15268,12524,20736,17801,202592,5228,5082,7167,9362,6320,4201,10483,11823,11665,12534,13311,17238,17835,15381,13547,22850,25337,209364,151925,82785,69140,17096,10564,6532,1397.56,10792,3171,899,211,1068,1881,3769,596,792,97816,"123,45",534,537,81138,"150,96"
126,6436,Main-Taunus-Kreis,,2161,1103,1058,5,674,0,167,38,2,0,254,52,0,0,51,18,6,0,70,16,2333,1117,1216,520,185,53,15,91,35,264,100,112,35,10,5,6601,6789,9372,11719,7127,4729,10741,12080,13713,15010,15916,20699,20018,16093,13094,24266,24881,232848,3357,3564,4822,6055,3714,2507,5656,6022,6630,7263,7809,10265,10053,7875,6169,11266,10565,113592,3244,3225,4550,5664,3413,2222,5085,6058,7083,7747,8107,10434,9965,8218,6925,13000,14316,119256,88855,46523,42332,11535,6596,4939,222.39,4838,1625,412,96,415,896,1616,187,243,78467,"323,47",165,118,57807,"489,83"
